id;mat_khau;quyen;ten;ngay_thang_nam_sinh
1;Right-sized Borders Supervisor;DISABLE;Tactics;2020-11-28
2;sensor;DISABLE;Computers Managed Frozen;2020-11-28
3;copying Intelligent;ADMIN;functionalities Ergonomic Granite Table;2020-11-28
4;Steel Fall;ADMIN;Trinidad and Tobago Dollar;2020-11-28
5;eyeballs;ADMIN;bandwidth-monitored Forward Money Market Account;2020-11-29
6;Chicken neutral Summit;ADMIN;tan technologies;2020-11-29
7;overriding Bike;ADMIN;Chicken;2020-11-28
8;monitor;USER;Money Market Account intuitive Indiana;2020-11-28
9;United Kingdom Knoll invoice;DISABLE;Road orchid;2020-11-29
10;Handcrafted programming array;USER;Credit Card Account;2020-11-29
